Player,Team,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Justin Abdelkader,--,L,L,1987-02-25,Muskegon,MI,USA,USA,74,213,2005,2,42,20072008,N,64,7,14,21
Pontus Aberg,--,R,L,1993-09-23,Stockholm,--,SWE,SWE,72,194,2012,2,37,20162017,N,15,1,1,2
Noel Acciari,PIT,R,C,1991-12-01,Johnston,RI,USA,USA,70,209,--,--,--,20152016,N,29,2,3,5
Sebastian Aho,CAR,L,C,1997-07-26,Rauma,--,FIN,FIN,72,176,2015,2,35,20162017,N,82,24,25,49
Karl Alzner,--,L,D,1988-09-24,Burnaby,BC,CAN,CAN,75,213,2007,1,5,20082009,N,82,3,10,13
Josh Anderson,MTL,R,R,1994-05-07,Burlington,ON,CAN,CAN,75,224,2012,4,95,20142015,N,78,17,12,29
Andy Andreoff,--,L,C,1991-05-17,Pickering,ON,CAN,CAN,73,208,2011,3,80,20142015,N,36,0,2,2
Sven Andrighetto,--,L,R,1993-03-21,Zurich,--,CHE,CHE,70,188,2013,3,86,20142015,N,46,7,17,24
Artem Anisimov,--,L,C,1988-05-24,Yaroslavl,--,RUS,RUS,76,199,2006,2,54,20082009,N,64,22,23,45
Josh Archibald,--,R,R,1992-10-06,Regina,SK,CAN,CAN,70,176,2011,6,174,20152016,N,10,3,0,3
Joel Armia,MTL,R,R,1993-05-31,Pori,--,FIN,FIN,75,216,2011,1,16,20142015,N,57,10,9,19
Viktor Arvidsson,LAK,R,R,1993-04-08,Skelleftea,--,SWE,SWE,70,185,2014,4,112,20142015,N,80,31,30,61
Andreas Athanasiou,CHI,L,C,1994-08-06,Woodbridge,ON,CAN,CAN,74,190,2012,4,110,20152016,N,64,18,11,29
Cam Atkinson,PHI,R,R,1989-06-05,Riverside,CT,USA,USA,68,175,2008,6,157,20112012,N,82,35,27,62
Yohann Auvitu,--,L,D,1989-07-27,Ivry-sur-Seine,--,FRA,FRA,71,187,--,--,--,20162017,N,25,2,2,4
David Backes,--,R,R,1984-05-01,Minneapolis,MN,USA,USA,75,215,2003,2,62,20062007,N,74,17,21,38
Mikael Backlund,CGY,L,C,1989-03-17,Vasteras,--,SWE,SWE,72,206,2007,1,24,20082009,N,81,22,31,53
Nicklas Backstrom,WSH,L,C,1987-11-23,Gavle,--,SWE,SWE,73,202,2006,1,4,20072008,N,82,23,63,86
Sven Baertschi,--,L,L,1992-10-05,Bern,--,CHE,CHE,71,190,2011,1,13,20112012,N,68,18,17,35
Josh Bailey,--,L,R,1989-10-02,Bowmanville,ON,CAN,CAN,73,200,2008,1,9,20082009,N,82,13,43,56
Justin Bailey,SJS,R,R,1995-07-01,Buffalo,NY,USA,USA,76,214,2013,2,52,20152016,N,32,2,2,4
Nick Baptiste,--,R,R,1995-08-04,Ottawa,ON,CAN,CAN,73,203,2013,3,69,20162017,N,14,3,1,4
Ivan Barbashev,VGK,L,C,1995-12-14,Moscow,--,RUS,RUS,72,198,2014,2,33,20162017,N,30,5,7,12
Mark Barberio,--,L,D,1990-03-23,Montréal,QC,CAN,CAN,73,200,2008,6,152,20122013,N,60,2,11,13
Aleksander Barkov,FLA,L,C,1995-09-02,Tampere,--,FIN,FIN,75,215,2013,1,2,20132014,N,61,21,31,52
Tyson Barrie,NSH,R,D,1991-07-26,Victoria,BC,CAN,CAN,71,197,2009,3,64,20112012,N,74,7,31,38
Matt Bartkowski,--,L,D,1988-06-04,Pittsburgh,PA,USA,USA,73,201,2008,7,190,20102011,N,24,1,1,2
Jay Beagle,--,R,C,1985-10-16,Calgary,AB,CAN,CAN,75,210,--,--,--,20082009,N,81,13,17,30
Francois Beauchemin,--,L,D,1980-06-04,Sorel,QC,CAN,CAN,71,208,1998,3,75,20022003,N,81,5,13,18
Nathan Beaulieu,--,L,D,1992-12-05,Strathroy,ON,CAN,CAN,74,200,2011,1,17,20122013,N,74,4,24,28
